Subregion,HS_age_population,HS_age_population_billion,HS_age_population_pct
Southern Asia,18164092000.0,18.16,26.6
Eastern Asia,16063797000.0,16.06,23.52
South-Eastern Asia,6248984000.0,6.25,9.15
South America,4037504000.0,4.04,5.91
Eastern Africa,3657336000.0,3.66,5.36
Western Africa,3330512000.0,3.33,4.88
Eastern Europe,3109213000.0,3.11,4.55
Western Asia,2245953000.0,2.25,3.29
Northern Africa,2194776000.0,2.19,3.21
Central America,1705065000.0,1.71,2.5
Western Europe,1701335000.0,1.7,2.49
Southern Europe,1428317000.0,1.43,2.09
Middle Africa,1362271000.0,1.36,1.99
Northern Europe,930077000.0,0.93,1.36
Central Asia,684524000.0,0.68,1.0
Southern Africa,635362000.0,0.64,0.93
Caribbean,466595000.0,0.47,0.68
Australia/New Zealand,221230000.0,0.22,0.32
Melanesia,95595000.0,0.1,0.14
Polynesia,8387000.0,0.01,0.01
Micronesia,5666000.0,0.01,0.01
